날짜,day,m,prod,ppl,tmean,pmean,pmax,pid,cnt,same_prev
20210409,5,4,15895,34.960177783,9.179166666666667,102.91666666666667,177,41,3,False
20210410,6,4,3055,9.613088842,8.904166666666667,45.833333333333336,106,42,3,False
20210411,7,4,0,0.0,11.845833333333333,20.625,23,43,4,False
20210412,1,4,16126,26.683324636,12.691666666666668,123.70833333333333,177,44,6,False
20210413,2,4,20850,37.101310465,17.429166666666667,123.70833333333333,177,44,6,True
20210414,3,4,17711,31.104300225,10.633333333333335,123.70833333333333,177,44,6,True
20210415,4,4,16202,28.570957051,11.170833333333334,123.70833333333333,177,44,6,True
20210416,5,4,19753,36.179625109,13.916666666666666,123.70833333333333,177,44,6,True
20210417,6,4,2978,10.269717371999999,14.375,45.833333333333336,106,42,3,False
20210418,7,4,0,0.0,11.6,20.625,23,43,4,False
20210419,1,4,14814,24.635568107,16.458333333333332,99.25,164,45,3,False
20210420,2,4,15647,40.771140219,17.654166666666665,99.25,164,45,3,True
20210421,3,4,15654,27.46756891,17.408333333333335,122.5,163,46,5,False
20210422,4,4,17361,31.122439294,18.058333333333334,122.5,163,46,5,True
20210423,5,4,13853,25.623270662,15.804166666666667,122.5,163,46,5,True
20210424,6,4,2904,9.380651327999999,14.833333333333334,43.125,102,47,2,False
20210425,7,4,0,0.0,13.495833333333332,20.625,23,43,4,False
20210426,1,4,14427,29.065365583,11.970833333333333,118.70833333333333,165,48,3,False
20210427,2,4,26142,51.563668026,14.241666666666667,118.70833333333333,165,48,3,True
20210428,3,4,18926,35.563176497,18.445833333333333,121.54166666666667,167,49,3,False
20210429,4,4,20601,37.920246651999996,16.283333333333335,121.54166666666667,167,49,3,True
20210430,5,4,15617,28.296392257,16.666666666666668,122.5,163,46,5,False
20210501,6,5,2792,8.792224653,12.237499999999999,45.625,109,37,2,False
20210502,7,5,0,0.0,12.554166666666667,21.625,24,38,2,False
20210503,1,5,14606,25.273019701,15.35,101.08333333333333,179,35,3,False
20210504,2,5,16356,28.233001224,16.908333333333335,130.70833333333334,173,36,3,False
20210505,3,5,2190,7.039334809,19.133333333333333,45.791666666666664,112,50,1,False
20210506,4,5,21648,35.87742115,16.820833333333333,103.58333333333333,186,39,2,False
20210507,5,5,15641,29.760835347,19.033333333333335,119.83333333333333,172,40,2,False
20210508,6,5,2848,7.802157356,17.775000000000002,45.833333333333336,106,42,3,False
20210509,7,5,0,0.0,19.095833333333335,102.91666666666667,177,41,3,False
20210510,1,5,16646,27.572178511,15.204166666666666,102.91666666666667,177,41,3,True
20210511,2,5,22088,38.120091756,15.25,127.25,176,51,1,False
20210512,3,5,20189,36.782072803,16.25,126.08333333333333,178,52,1,False
20210513,4,5,17668,34.917625133,18.320833333333333,122.125,168,53,1,False
20210514,5,5,17374,33.269767666999996,19.212500000000002,117.16666666666667,150,54,1,False
20210515,6,5,742,2.576069723,18.770833333333332,42.458333333333336,101,55,1,False
20210516,7,5,0,0.0,19.7375,20.625,23,43,4,False
20210517,1,5,13391,22.710943365,14.416666666666666,100.04166666666667,174,56,1,False
20210518,2,5,23411,40.808946932,15.9,123.70833333333333,177,44,6,False
20210519,3,5,2990,17.643511923,20.054166666666667,42.083333333333336,97,57,1,False
20210520,4,5,15890,29.547599814999998,16.4875,97.125,172,58,1,False
20210521,5,5,24516,51.610973236,17.150000000000002,116.79166666666667,156,59,1,False
20210522,6,5,2543,9.181934332,19.291666666666668,43.125,102,47,2,False
20210523,7,5,0,0.0,23.379166666666666,21.25,23,60,1,False
20210524,1,5,16585,28.758531862999998,19.820833333333333,99.25,164,45,3,False
20210525,2,5,22021,41.626573016,19.0125,122.5,163,46,5,False
20210526,3,5,19944,36.883961706,18.270833333333332,119.58333333333333,157,61,1,False
20210527,4,5,20617,37.9512132,18.908333333333335,118.70833333333333,165,48,3,False
20210528,5,5,18873,35.940668323,17.245833333333334,121.54166666666667,167,49,3,False
20210529,6,5,3071,9.889857265,19.195833333333333,43.916666666666664,102,62,1,False
20210530,7,5,0,0.0,19.241666666666667,21.916666666666668,24,4,15,False
20210531,1,5,17276,29.292340422,18.95,100.875,169,63,1,False
20210601,2,6,17704,31.238948977,20.170833333333334,128.95833333333334,179,23,3,False
20210602,3,6,23620,38.594974035,21.154166666666665,129.54166666666666,182,24,3,False
20210603,4,6,22814,40.737103858,18.575,127.375,170,25,3,False
20210604,5,6,16443,29.819777762,20.9375,121.5,160,3,4,False
20210605,6,6,1321,4.0580014460000005,22.208333333333332,46.333333333333336,107,1,7,False
20210606,7,6,0,0.0,22.900000000000002,22.875,25,2,2,False
20210607,1,6,16624,26.239205419,24.175,104.29166666666667,175,5,3,False
20210608,2,6,17157,30.773998244,24.070833333333336,125.45833333333333,166,6,4,False
20210609,3,6,16670,28.00998526,22.504166666666666,127.0,172,28,3,False
20210610,4,6,13267,23.751892674,21.97083333333333,126.16666666666667,166,29,3,False
20210611,5,6,16121,28.078071245,20.845833333333335,127.33333333333333,168,9,4,False
20210612,6,6,2422,5.924983909,21.154166666666665,47.333333333333336,109,26,6,False
20210613,7,6,0,0.0,23.054166666666664,22.875,25,27,5,False
20210614,1,6,13133,19.628416983,21.787499999999998,112.33333333333333,186,10,3,False
20210615,2,6,21534,34.047972003,20.683333333333334,137.875,188,11,4,False
20210616,3,6,16985,29.221736106,19.0625,135.5,180,30,3,False
20210617,4,6,16681,25.111017727,18.620833333333334,140.45833333333334,190,13,4,False
20210618,5,6,16376,27.781837256,20.929166666666667,133.70833333333334,177,14,4,False
20210619,6,6,1559,5.548455860000001,23.083333333333332,46.375,115,31,2,False
20210620,7,6,0,0.0,23.075,22.958333333333332,25,64,1,False
20210621,1,6,15640,24.126975286,22.09583333333333,112.5,190,15,2,False
20210622,2,6,19284,32.547668406,19.583333333333332,134.0,172,16,4,False
20210623,3,6,18895,33.572895614,19.495833333333334,129.08333333333334,163,17,4,False
20210624,4,6,17643,29.179649689,21.008333333333333,135.83333333333334,182,18,4,False
20210625,5,6,17958,32.726719539,22.375,134.95833333333334,180,19,4,False
20210626,6,6,3813,11.554524301,22.3625,50.25,125,32,2,False
20210627,7,6,0,0.0,22.570833333333336,24.291666666666668,26,65,1,False
20210628,1,6,17807,26.680061974,22.920833333333334,112.20833333333333,185,20,2,False
20210629,2,6,21196,32.241729375,22.816666666666666,138.04166666666666,202,21,3,False
20210630,3,6,18575,31.140182722,22.7375,131.79166666666666,180,22,3,False
20210701,4,7,18353,29.057783462,22.929166666666664,138.91666666666666,190,66,1,False
20210702,5,7,19849,34.197220064,22.516666666666666,131.70833333333334,179,67,1,False
20210703,6,7,1735,7.090664737,22.275000000000002,45.416666666666664,106,68,1,False
20210704,7,7,0,0.0,26.329166666666666,23.333333333333332,26,69,1,False
20210705,1,7,15715,24.977477062,23.504166666666666,105.75,173,70,1,False
20210706,2,7,16581,28.441974845,23.52916666666667,133.08333333333334,180,71,1,False
20210707,3,7,19407,31.132976518,23.7,134.875,181,72,1,False
20210708,4,7,19519,32.570934723,23.25,136.33333333333334,190,73,1,False
20210709,5,7,16527,26.257579275,22.8,131.5,181,74,1,False
20210710,6,7,487,1.464341578,25.170833333333334,46.208333333333336,101,75,1,False
20210711,7,7,0,0.0,26.46666666666667,23.541666666666668,26,76,1,False
20210712,1,7,17043,25.203768753,27.495833333333334,111.95833333333333,191,77,1,False
20210713,2,7,0,0.0,27.916666666666668,136.08333333333334,188,78,1,False
20210714,3,7,17253,28.808629981,28.333333333333332,131.25,185,79,1,False
20210715,4,7,0,0.0,26.97083333333333,135.66666666666666,198,80,1,False
20210716,5,7,24412,39.006020179000004,26.045833333333334,132.20833333333334,188,81,1,False
20210717,6,7,1867,6.640363654,25.704166666666666,44.0,101,82,1,False
20210718,7,7,0,0.0,26.1125,23.625,25,83,1,False
20210719,1,7,13584,19.859291753,26.525000000000002,114.41666666666667,199,84,1,False
20210720,2,7,23473,40.546856687,27.891666666666666,140.45833333333334,191,85,1,False
20210721,3,7,19461,30.494530501,26.733333333333334,140.875,204,86,1,False
20210722,4,7,15801,26.454294641,26.8625,135.375,197,87,1,False
20210723,5,7,23560,36.460288808,26.429166666666664,136.04166666666666,191,88,1,False
20210724,6,7,2319,6.826039591,26.816666666666666,45.0,97,89,1,False
20210725,7,7,0,0.0,27.099999999999998,24.541666666666668,26,90,1,False
20210726,1,7,24022,37.648468937000004,27.412499999999998,111.66666666666667,198,91,1,False
20210727,2,7,20776,30.677747322,26.84166666666667,145.16666666666666,207,92,1,False
20210728,3,7,24285,37.032911821,26.854166666666668,145.66666666666666,208,93,2,False
20210729,4,7,25698,38.186368334,27.349999999999998,142.83333333333334,207,94,1,False
20210730,5,7,12688,18.153783431,28.59166666666667,145.66666666666666,208,93,2,False
20210731,6,7,0,0.0,28.175,21.541666666666668,23,95,1,False
20210801,7,8,0,0.0,27.912499999999998,21.583333333333332,23,96,1,False
20210802,1,8,0,0.0,27.916666666666668,21.458333333333332,23,97,1,False
20210803,2,8,0,0.0,26.954166666666666,21.625,23,98,1,False
20210804,3,8,0,0.0,28.479166666666668,21.375,23,99,1,False
20210805,4,8,0,0.0,29.0,21.541666666666668,23,100,1,False
20210806,5,8,0,0.0,28.941666666666666,21.875,24,101,1,False
20210807,6,8,0,0.0,28.900000000000002,21.666666666666668,24,102,1,False
20210808,7,8,0,0.0,24.479166666666668,21.375,23,103,1,False
20210809,1,8,20689,29.725374033,24.941666666666666,107.66666666666667,193,104,1,False
20210810,2,8,17425,27.764664432,23.8875,132.875,185,105,1,False
20210811,3,8,19587,30.447642445000003,25.266666666666666,139.0,203,106,1,False
20210812,4,8,22339,34.671931679,24.8625,137.45833333333334,188,107,1,False
20210813,5,8,17668,27.53772347,24.5625,139.41666666666666,196,108,1,False
20210814,6,8,1529,5.751879228,23.329166666666666,42.958333333333336,107,109,1,False
20210815,7,8,0,0.0,23.09583333333333,22.166666666666668,23,110,1,False
20210816,1,8,10238,18.203357361000002,23.620833333333334,91.54166666666667,183,111,1,False
20210817,2,8,29279,50.602771278,22.420833333333334,124.58333333333333,169,112,1,False
20210818,3,8,20063,34.205689585,22.883333333333336,129.58333333333334,179,113,1,False
20210819,4,8,25976,42.629569357,23.46666666666667,132.95833333333334,177,114,1,False
20210820,5,8,25213,44.965431846,23.879166666666666,130.45833333333334,187,115,1,False
20210821,6,8,3794,12.015040073,23.45,45.041666666666664,104,116,1,False
20210822,7,8,0,0.0,26.608333333333334,22.833333333333332,25,117,1,False
20210823,1,8,16580,24.659185886,23.425,108.66666666666667,184,118,1,False
20210824,2,8,16955,25.765923754,26.054166666666664,136.33333333333334,187,119,1,False
20210825,3,8,22076,35.33776216,25.2,134.08333333333334,177,120,1,False
20210826,4,8,20064,32.385610057,27.133333333333336,138.45833333333334,195,121,1,False
20210827,5,8,25769,43.312390359,25.8,128.95833333333334,181,122,1,False
20210828,6,8,1799,5.322701221,25.3875,46.208333333333336,111,123,1,False
20210829,7,8,0,0.0,24.629166666666666,11.5,26,124,1,False
20210830,1,8,10719,17.004629308,25.15416666666667,107.95833333333333,172,125,1,False
20210831,2,8,16443,28.120415848,23.941666666666666,134.75,182,126,1,False
20210901,3,9,19638,32.759131769999996,22.34166666666667,139.29166666666666,185,127,1,False
20210902,4,9,19351,31.687010535,21.133333333333333,139.79166666666666,192,128,1,False
20210903,5,9,12845,22.740668161,20.520833333333332,132.375,187,129,1,False
20210904,6,9,3431,9.637463109,21.770833333333332,51.208333333333336,111,130,1,False
20210905,7,9,0,0.0,22.220833333333335,22.875,25,131,1,False
20210906,1,9,16628,27.577478739,22.575,103.83333333333333,176,132,1,False
20210907,2,9,16424,26.552078767,23.870833333333334,136.70833333333334,182,133,1,False
20210908,3,9,20831,34.715415018,23.391666666666666,128.20833333333334,171,134,1,False
20210909,4,9,17162,28.231868281,22.8625,133.91666666666666,174,135,1,False
20210910,5,9,18789,30.113376989,22.3625,134.16666666666666,184,136,1,False
20210911,6,9,2173,9.692291056999998,23.729166666666668,42.833333333333336,97,137,1,False
20210912,7,9,0,0.0,23.441666666666666,23.333333333333332,25,138,1,False
20210913,1,9,14174,21.950190712999998,22.962500000000002,111.0,185,139,1,False
20210914,2,9,19318,34.221574788,21.6125,132.58333333333334,174,140,1,False
